Employment and Wages Report (ES-202)
 Selection Criteria  Area Type : State Area : Massachusetts Year : 2015 Period : Annual Period Ownership Type : All Ownership Types Industry : Totals by Industry Sector NAICS code
Description,No. of Establishments,Number of Employees,,,,,,,,,,,,Total Wages,Average Monthly Employment,Average Weekly Wages,
"Information","5,051","92,953","92,488","92,801","93,090","93,424","94,822","95,275","95,003","93,733","94,373","94,681","94,890","$9,722,411,644","93,961","$1,990",
"51 - Information","5,051","92,953","92,488","92,801","93,090","93,424","94,822","95,275","95,003","93,733","94,373","94,681","94,890","$9,722,411,644","93,961","$1,990",
"Financial Activities","16,828","208,350","208,009","208,092","208,913","210,564","213,607","217,079","217,290","213,111","213,756","213,939","214,407","$27,719,081,150","212,260","$2,511",
"52 - Finance and Insurance","10,065","166,323","166,262","166,134","166,331","166,751","168,326","170,688","171,005","168,044","168,845","169,565","170,031","$24,493,969,030","168,192","$2,801",
"53 - Real Estate and Rental and Leasing","6,763","42,027","41,747","41,958","42,582","43,813","45,281","46,391","46,285","45,067","44,911","44,374","44,376","$3,225,112,120","44,068","$1,407",
"Professional and Business Services","46,449","518,971","519,027","522,113","536,209","543,043","550,857","555,078","554,753","546,637","553,012","553,186","548,814","$52,397,789,366","541,808","$1,860",
"54 - Professional and Technical Services","32,419","292,215","292,185","293,984","297,045","295,486","298,803","301,795","301,905","296,716","301,961","302,955","303,691","$35,347,581,002","298,228","$2,279",
"55 - Management of Companies and Enterprises","1,415","64,345","63,830","64,166","64,535","64,945","65,952","66,055","65,872","65,299","65,610","65,809","65,945","$9,139,817,340","65,197","$2,696",
"56 - Administrative and Waste Services","12,615","162,411","163,012","163,963","174,629","182,612","186,102","187,228","186,976","184,622","185,441","184,422","179,178","$7,910,391,024","178,383","$853",
"Education and Health Services","56,227","957,357","968,469","979,298","981,060","981,598","972,954","914,245","899,660","970,943","990,554","997,023","998,652","$53,963,503,001","967,651","$1,072",
"61 - Educational Services","4,520","347,027","362,111","367,327","369,496","363,733","352,328","291,827","277,915","350,864","366,390","369,607","369,235","$20,491,174,508","348,988","$1,129",
"62 - Health Care and Social Assistance","51,707","610,330","606,358","611,971","611,564","617,865","620,626","622,418","621,745","620,079","624,164","627,416","629,417","$33,472,328,493","618,663","$1,040",
"Leisure and Hospitality","20,562","325,253","319,652","327,737","342,082","365,015","382,858","396,027","394,055","368,535","361,688","349,138","347,414","$8,850,912,344","356,621","$477",
"71 - Arts, Entertainment, and Recreation","3,803","51,979","49,834","51,746","55,436","62,774","70,904","80,500","79,234","64,831","63,617","58,698","57,267","$2,266,985,444","62,235","$701",
"72 - Accommodation and Food Services","16,759","273,274","269,818","275,991","286,646","302,241","311,954","315,527","314,821","303,704","298,071","290,440","290,147","$6,583,926,899","294,386","$430",
"Other Services","21,243","112,397","110,765","112,689","114,519","116,183","119,175","120,902","119,846","115,199","115,650","115,295","115,495","$4,104,632,285","115,676","$682",
"81 - Other Services, Except Public Administration","21,243","112,397","110,765","112,689","114,519","116,183","119,175","120,902","119,846","115,199","115,650","115,295","115,495","$4,104,632,285","115,676","$682",
"Public Administration","4,054","134,826","134,488","135,819","136,185","137,130","139,522","140,574","138,111","135,126","134,731","135,568","136,214","$9,981,045,225","136,525","$1,406",
"92 - Public Administration","4,054","134,826","134,488","135,819","136,185","137,130","139,522","140,574","138,111","135,126","134,731","135,568","136,214","$9,981,045,225","136,525","$1,406",
