Employment and Wages Report (ES-202)
 Selection Criteria  Area Type : State Area : Massachusetts Year : 2011 Period : Annual Period Ownership Type : All Ownership Types Industry : Totals by Industry Sector NAICS code
Description,No. of Establishments,Number of Employees,,,,,,,,,,,,Total Wages,Average Monthly Employment,Average Weekly Wages,
"42 - Wholesale Trade","15,316","122,271","122,190","121,972","123,050","123,442","124,146","125,150","124,832","123,763","124,135","124,096","124,503","$10,149,575,901","123,629","$1,579",
"Information","4,488","89,084","89,316","89,660","89,363","89,786","90,889","91,955","88,196","90,347","90,308","90,044","90,400","$8,275,099,329","89,946","$1,769",
"51 - Information","4,488","89,084","89,316","89,660","89,363","89,786","90,889","91,955","88,196","90,347","90,308","90,044","90,400","$8,275,099,329","89,946","$1,769",
"Financial Activities","16,552","206,472","206,226","206,308","206,934","207,493","209,893","211,682","211,894","209,241","208,582","207,963","208,569","$22,755,798,333","208,438","$2,099",
"52 - Finance and Insurance","10,024","168,009","167,997","167,877","167,728","167,617","168,380","169,472","169,774","168,202","167,937","167,819","168,506","$20,227,840,105","168,277","$2,312",
"53 - Real Estate and Rental and Leasing","6,528","38,463","38,229","38,431","39,206","39,876","41,513","42,210","42,120","41,039","40,645","40,144","40,063","$2,527,958,229","40,162","$1,210",
"Professional and Business Services","43,578","466,714","467,593","467,632","482,807","482,886","489,049","494,014","492,281","489,243","491,944","491,666","488,938","$40,838,526,709","483,731","$1,624",
"54 - Professional and Technical Services","30,478","257,076","258,394","258,598","261,876","258,786","260,841","264,088","263,816","260,957","263,556","265,085","267,265","$27,114,054,698","261,695","$1,992",
"55 - Management of Companies and Enterprises","1,264","58,323","58,254","58,227","58,428","58,361","58,985","59,451","59,001","58,778","58,666","58,829","59,208","$7,227,475,515","58,709","$2,367",
"56 - Administrative and Waste Services","11,836","151,315","150,945","150,807","162,503","165,739","169,223","170,475","169,464","169,508","169,722","167,752","162,465","$6,496,996,495","163,327","$765",
"Education and Health Services","21,026","855,098","867,615","872,259","873,085","872,753","863,082","798,209","785,867","867,633","876,023","880,908","882,211","$45,633,781,598","857,895","$1,023",
"61 - Educational Services","3,957","329,687","341,920","343,788","344,197","342,111","330,316","264,508","252,380","333,947","342,514","345,326","344,397","$17,648,322,137","326,258","$1,040",
"62 - Health Care and Social Assistance","17,069","525,411","525,695","528,471","528,888","530,642","532,766","533,701","533,487","533,686","533,509","535,582","537,814","$27,985,459,462","531,638","$1,012",
"Leisure and Hospitality","20,044","290,464","289,340","295,289","311,854","324,939","343,912","357,554","356,890","336,891","327,634","314,857","310,741","$7,140,043,436","321,697","$427",
"71 - Arts, Entertainment, and Recreation","3,579","46,154","44,145","45,749","50,135","54,371","61,878","70,539","69,906","57,940","56,061","50,489","49,000","$1,894,288,122","54,697","$666",
"72 - Accommodation and Food Services","16,465","244,310","245,195","249,540","261,719","270,568","282,034","287,015","286,984","278,951","271,573","264,368","261,741","$5,245,755,314","267,000","$378",
"Other Services","42,391","133,303","132,746","135,912","134,716","137,458","138,468","143,405","141,406","138,193","137,497","137,649","140,637","$3,895,822,517","137,616","$544",
"81 - Other Services, Except Public Administration","42,391","133,303","132,746","135,912","134,716","137,458","138,468","143,405","141,406","138,193","137,497","137,649","140,637","$3,895,822,517","137,616","$544",
"Public Administration","3,441","132,630","132,389","132,654","133,225","134,200","135,646","134,679","133,523","134,271","132,828","132,935","134,413","$8,486,697,454","133,616","$1,221",
"92 - Public Administration","3,441","132,630","132,389","132,654","133,225","134,200","135,646","134,679","133,523","134,271","132,828","132,935","134,413","$8,486,697,454","133,616","$1,221",
