Employment and Wages Report (ES-202)
 Selection Criteria  Area Type : State Area : Massachusetts Year : 2005 Period : Annual Period Ownership Type : All Ownership Types Industry : Totals by Industry Sector NAICS code
Description,No. of Establishments,Number of Employees,,,,,,,,,,,,Total Wages,Average Monthly Employment,Average Weekly Wages,
"22 - Utilities","363","12,948","12,907","12,907","12,842","12,765","12,874","12,901","12,806","12,742","12,703","12,749","12,783","$1,010,109,619","12,827","$1,514",
"42 - Wholesale Trade","15,514","131,113","130,987","130,937","131,572","132,288","133,215","133,580","133,701","132,991","133,451","133,969","134,425","$8,921,303,096","132,686","$1,293",
"Information","4,085","92,330","92,551","92,614","92,487","92,836","93,654","94,364","94,073","93,406","92,863","93,433","94,035","$6,822,006,223","93,221","$1,407",
"51 - Information","4,085","92,330","92,551","92,614","92,487","92,836","93,654","94,364","94,073","93,406","92,863","93,433","94,035","$6,822,006,223","93,221","$1,407",
"Financial Activities","16,850","215,806","218,667","219,177","219,897","221,108","224,318","226,426","226,520","224,140","222,430","223,075","224,693","$19,712,881,260","222,188","$1,706",
"52 - Finance and Insurance","9,844","172,332","175,368","175,604","175,631","176,003","177,773","179,454","179,567","178,230","177,385","178,115","179,491","$17,446,949,133","177,079","$1,895",
"53 - Real Estate and Rental and Leasing","7,006","43,474","43,299","43,573","44,266","45,105","46,545","46,972","46,953","45,910","45,045","44,960","45,202","$2,265,932,126","45,109","$966",
"Professional and Business Services","39,131","449,485","449,739","451,815","465,632","467,150","474,530","474,172","474,880","473,713","471,945","474,018","473,268","$30,639,875,569","466,696","$1,263",
"54 - Professional and Technical Services","26,912","231,452","232,683","233,098","235,327","232,560","236,124","238,148","238,509","236,843","237,561","238,527","241,635","$19,660,147,759","236,039","$1,602",
"55 - Management of Companies and Enterprises","1,062","66,246","65,699","65,481","65,826","65,781","66,588","65,287","65,007","65,454","65,868","66,089","66,044","$5,326,139,822","65,781","$1,557",
"56 - Administrative and Waste Services","11,157","151,787","151,357","153,236","164,479","168,809","171,818","170,737","171,364","171,416","168,516","169,402","165,589","$5,653,587,988","164,876","$659",
"Education and Health Services","19,388","762,155","772,995","774,124","777,043","777,475","771,490","695,641","682,630","770,481","782,636","789,004","788,474","$33,748,102,307","762,012","$852",
"61 - Educational Services","3,187","307,337","318,628","318,507","319,983","319,104","309,901","236,030","223,818","311,126","322,102","325,750","323,375","$13,815,903,990","302,972","$877",
"62 - Health Care and Social Assistance","16,201","454,818","454,367","455,617","457,060","458,371","461,589","459,611","458,812","459,355","460,534","463,254","465,099","$19,932,198,317","459,041","$835",
"Leisure and Hospitality","18,327","270,299","270,920","274,259","290,363","304,170","320,502","331,245","330,310","311,997","298,696","289,249","286,184","$5,883,602,085","298,183","$379",
"71 - Arts, Entertainment, and Recreation","3,208","42,178","42,330","42,713","47,931","53,118","58,968","66,269","66,156","54,877","50,634","46,869","45,192","$1,526,529,202","51,436","$571",
"72 - Accommodation and Food Services","15,119","228,121","228,590","231,546","242,432","251,052","261,534","264,976","264,154","257,120","248,062","242,380","240,992","$4,357,072,883","246,747","$340",
"Other Services","31,456","116,976","117,999","118,578","120,668","121,184","122,515","122,985","122,291","120,767","119,887","119,502","124,001","$3,151,575,750","120,613","$502",
"81 - Other Services, Except Public Administration","31,456","116,976","117,999","118,578","120,668","121,184","122,515","122,985","122,291","120,767","119,887","119,502","124,001","$3,151,575,750","120,613","$502",
"Public Administration","3,119","128,896","129,415","129,871","130,884","131,396","133,440","133,304","132,554","130,848","130,361","130,508","130,129","$6,812,974,741","130,967","$1,000",
"92 - Public Administration","3,119","128,896","129,415","129,871","130,884","131,396","133,440","133,304","132,554","130,848","130,361","130,508","130,129","$6,812,974,741","130,967","$1,000",
