Employment and Wages Report (ES-202)
 Selection Criteria  Area Type : State Area : Massachusetts Year : 2014 Period : Annual Period Ownership Type : All Ownership Types Industry : Totals by Industry Sector NAICS code
Description,No. of Establishments,Number of Employees,,,,,,,,,,,,Total Wages,Average Monthly Employment,Average Weekly Wages,
"54 - Professional and Technical Services","31,400","282,276","283,995","284,861","286,401","284,419","288,129","291,549","291,721","287,959","290,052","291,042","292,913","$32,710,239,481","287,943","$2,185",
"55 - Management of Companies and Enterprises","1,365","62,619","62,597","62,893","62,884","63,181","63,987","64,127","63,723","63,718","63,784","64,105","64,608","$8,034,793,048","63,519","$2,433",
"56 - Administrative and Waste Services","12,282","159,506","158,870","159,793","171,666","177,303","180,782","180,433","181,361","180,395","181,771","179,679","174,404","$7,351,356,499","173,830","$813",
"Education and Health Services","51,839","935,285","948,360","955,202","961,005","957,337","946,328","886,767","882,109","953,436","971,620","978,264","980,999","$51,621,300,513","946,393","$1,049",
"61 - Educational Services","4,366","346,883","361,069","362,581","366,066","360,508","344,629","282,830","277,481","350,559","364,899","368,807","367,369","$19,695,035,600","346,140","$1,094",
"62 - Health Care and Social Assistance","47,473","588,402","587,291","592,621","594,939","596,829","601,699","603,937","604,628","602,877","606,721","609,457","613,630","$31,926,264,913","600,253","$1,023",
"Leisure and Hospitality","20,287","315,348","314,629","322,505","335,076","354,945","374,756","385,774","385,594","362,225","355,735","341,271","339,260","$8,241,256,664","348,927","$454",
"71 - Arts, Entertainment, and Recreation","3,744","48,591","48,832","50,859","54,109","60,044","69,165","77,084","75,966","62,414","61,365","55,689","55,185","$2,117,392,564","59,942","$679",
"72 - Accommodation and Food Services","16,543","266,757","265,797","271,646","280,967","294,901","305,591","308,690","309,628","299,811","294,370","285,582","284,075","$6,123,864,100","288,985","$408",
"Other Services","20,905","110,434","110,631","112,332","113,784","115,410","118,678","119,584","118,864","114,507","115,199","115,017","115,212","$3,948,466,904","114,971","$660",
"81 - Other Services, Except Public Administration","20,905","110,434","110,631","112,332","113,784","115,410","118,678","119,584","118,864","114,507","115,199","115,017","115,212","$3,948,466,904","114,971","$660",
"Public Administration","4,015","133,902","133,622","134,145","135,378","136,348","138,711","139,242","138,750","138,486","135,951","139,933","137,225","$9,547,342,998","136,808","$1,342",
"92 - Public Administration","4,015","133,902","133,622","134,145","135,378","136,348","138,711","139,242","138,750","138,486","135,951","139,933","137,225","$9,547,342,998","136,808","$1,342",
