Employment and Wages Report (ES-202)
 Selection Criteria  Area Type : State Area : Massachusetts Year : 2008 Period : Annual Period Ownership Type : All Ownership Types Industry : Totals by Industry Sector NAICS code
Description,No. of Establishments,Number of Employees,,,,,,,,,,,,Total Wages,Average Monthly Employment,Average Weekly Wages,
"Education and Health Services","19,849","816,535","826,784","830,893","832,953","832,452","826,514","758,142","745,709","826,483","840,755","844,007","845,484","$41,110,730,933","818,893","$965",
"61 - Educational Services","3,450","322,886","333,334","335,116","335,984","333,328","324,634","256,489","243,748","324,397","336,702","338,195","337,724","$16,188,467,305","318,545","$977",
"62 - Health Care and Social Assistance","16,399","493,649","493,450","495,777","496,969","499,124","501,880","501,653","501,961","502,086","504,053","505,812","507,760","$24,922,263,629","500,348","$958",
"Leisure and Hospitality","18,740","284,192","285,331","289,345","301,926","319,240","335,462","343,923","344,099","322,981","314,739","300,745","295,596","$6,810,470,844","311,465","$420",
"71 - Arts, Entertainment, and Recreation","3,302","45,381","44,536","45,179","49,703","55,873","63,100","69,602","70,259","57,581","54,635","49,158","47,681","$1,852,082,142","54,391","$655",
"72 - Accommodation and Food Services","15,438","238,811","240,795","244,166","252,223","263,367","272,362","274,321","273,840","265,400","260,104","251,587","247,915","$4,958,388,702","257,074","$371",
"Other Services","36,015","126,140","126,464","127,773","128,170","128,738","132,568","133,660","132,742","129,725","129,925","129,262","131,316","$3,657,105,640","129,707","$542",
"81 - Other Services, Except Public Administration","36,015","126,140","126,464","127,773","128,170","128,738","132,568","133,660","132,742","129,725","129,925","129,262","131,316","$3,657,105,640","129,707","$542",
"Public Administration","3,398","134,588","135,541","135,075","136,357","137,344","139,912","139,828","138,916","137,165","136,781","137,640","136,530","$7,899,279,287","137,140","$1,108",
"92 - Public Administration","3,398","134,588","135,541","135,075","136,357","137,344","139,912","139,828","138,916","137,165","136,781","137,640","136,530","$7,899,279,287","137,140","$1,108",
