Employment and Wages Report (ES-202)
 Selection Criteria  Area Type : State Area : Massachusetts Year : 2007 Period : Annual Period Ownership Type : All Ownership Types Industry : Totals by Industry Sector NAICS code
Description,No. of Establishments,Number of Employees,,,,,,,,,,,,Total Wages,Average Monthly Employment,Average Weekly Wages,
"53 - Real Estate and Rental and Leasing","6,974","42,594","42,594","42,689","43,128","44,066","45,574","45,814","45,735","44,002","43,552","42,988","43,048","$2,477,636,411","43,815","$1,087",
"Professional and Business Services","40,104","467,664","469,830","473,156","485,234","489,737","497,589","495,103","497,215","491,884","492,462","493,767","493,262","$36,041,738,001","487,242","$1,423",
"54 - Professional and Technical Services","27,527","245,907","248,319","248,586","251,067","248,558","252,490","253,364","253,757","250,902","253,291","254,686","258,307","$23,341,675,348","251,603","$1,784",
"55 - Management of Companies and Enterprises","1,110","61,377","61,038","61,096","61,075","61,100","61,897","61,594","61,185","61,096","60,993","61,061","61,519","$6,105,672,076","61,253","$1,917",
"56 - Administrative and Waste Services","11,467","160,380","160,473","163,474","173,092","180,079","183,202","180,145","182,273","179,886","178,178","178,020","173,436","$6,594,390,578","174,387","$727",
"Education and Health Services","19,680","806,404","814,749","816,751","820,128","821,432","814,234","737,484","729,200","811,870","824,957","828,926","830,115","$38,559,377,498","804,688","$922",
"61 - Educational Services","3,355","322,038","330,968","332,023","333,014","333,090","323,149","247,152","238,896","322,204","332,686","334,773","334,627","$15,310,496,941","315,385","$934",
"62 - Health Care and Social Assistance","16,325","484,366","483,781","484,728","487,114","488,342","491,085","490,332","490,304","489,666","492,271","494,153","495,488","$23,248,880,557","489,303","$914",
"Leisure and Hospitality","18,558","279,461","280,477","284,296","295,781","310,727","331,893","340,778","341,150","320,689","311,722","301,311","296,644","$6,596,698,057","307,911","$412",
"71 - Arts, Entertainment, and Recreation","3,257","43,368","43,860","44,490","47,624","53,385","62,257","68,754","69,237","57,141","53,607","48,515","47,609","$1,795,772,681","53,321","$648",
"72 - Accommodation and Food Services","15,301","236,093","236,617","239,806","248,157","257,342","269,636","272,024","271,913","263,548","258,115","252,796","249,035","$4,800,925,376","254,590","$363",
"Other Services","34,023","122,234","122,627","123,869","124,450","125,904","129,211","130,201","129,329","126,273","126,074","126,436","129,952","$3,497,878,505","126,380","$532",
"81 - Other Services, Except Public Administration","34,023","122,234","122,627","123,869","124,450","125,904","129,211","130,201","129,329","126,273","126,074","126,436","129,952","$3,497,878,505","126,380","$532",
"Public Administration","3,311","132,286","132,221","132,626","134,016","134,994","137,943","136,817","135,727","133,892","133,173","134,533","133,872","$7,562,031,389","134,342","$1,082",
"92 - Public Administration","3,311","132,286","132,221","132,626","134,016","134,994","137,943","136,817","135,727","133,892","133,173","134,533","133,872","$7,562,031,389","134,342","$1,082",
