Employment and Wages Report (ES-202)
 Selection Criteria  Area Type : State Area : Massachusetts Year : 2006 Period : Annual Period Ownership Type : All Ownership Types Industry : Totals by Industry Sector NAICS code
Description,No. of Establishments,Number of Employees,,,,,,,,,,,,Total Wages,Average Monthly Employment,Average Weekly Wages,
"Financial Activities","16,985","222,354","222,212","222,629","223,224","224,395","227,485","229,327","228,592","226,166","225,071","225,199","226,678","$21,252,287,656","225,278","$1,814",
"52 - Finance and Insurance","10,016","178,885","178,900","179,278","179,037","179,646","181,344","182,465","182,191","180,947","180,792","181,348","182,713","$18,826,008,522","180,629","$2,004",
"53 - Real Estate and Rental and Leasing","6,969","43,469","43,312","43,351","44,187","44,749","46,141","46,862","46,401","45,219","44,279","43,851","43,965","$2,426,279,134","44,649","$1,045",
"Professional and Business Services","39,326","458,969","461,084","464,967","475,762","478,724","487,682","485,220","487,081","483,567","485,966","486,848","486,456","$33,209,356,932","478,527","$1,335",
"54 - Professional and Technical Services","27,092","240,871","242,795","243,778","244,360","242,499","246,627","247,542","247,461","245,326","247,732","248,963","252,577","$21,568,797,248","245,878","$1,687",
"55 - Management of Companies and Enterprises","1,073","62,674","62,575","62,715","63,117","63,117","63,775","61,891","61,807","61,671","61,731","61,906","62,359","$5,556,015,545","62,445","$1,711",
"56 - Administrative and Waste Services","11,161","155,424","155,714","158,474","168,285","173,108","177,280","175,787","177,813","176,570","176,503","175,979","171,520","$6,084,544,139","170,205","$687",
"Education and Health Services","19,501","778,765","789,079","793,879","793,621","795,400","792,144","714,130","702,502","789,758","801,735","807,271","807,616","$35,923,767,110","780,492","$885",
"61 - Educational Services","3,263","314,808","325,534","327,421","326,272","325,887","319,162","243,088","231,923","317,868","327,102","330,123","328,521","$14,433,156,942","309,809","$896",
"62 - Health Care and Social Assistance","16,238","463,957","463,545","466,458","467,349","469,513","472,982","471,042","470,579","471,890","474,633","477,148","479,095","$21,490,610,168","470,683","$878",
"Leisure and Hospitality","18,358","272,571","272,924","277,489","291,435","304,719","323,384","335,579","335,287","315,895","305,543","295,539","293,181","$6,124,815,269","301,962","$390",
"71 - Arts, Entertainment, and Recreation","3,208","41,284","41,515","42,576","48,173","51,978","59,857","68,164","67,638","56,126","52,324","47,507","46,372","$1,575,336,683","51,960","$583",
"72 - Accommodation and Food Services","15,150","231,287","231,409","234,913","243,262","252,741","263,527","267,415","267,649","259,769","253,219","248,032","246,809","$4,549,478,587","250,003","$350",
"Other Services","32,519","119,863","119,602","121,398","122,145","122,696","125,416","125,689","125,238","122,291","122,531","122,468","127,341","$3,293,122,921","123,057","$515",
"81 - Other Services, Except Public Administration","32,519","119,863","119,602","121,398","122,145","122,696","125,416","125,689","125,238","122,291","122,531","122,468","127,341","$3,293,122,921","123,057","$515",
"Public Administration","3,171","130,182","130,444","130,810","132,311","133,185","136,560","135,524","134,521","133,239","132,428","133,249","132,767","$7,175,202,437","132,935","$1,038",
"92 - Public Administration","3,171","130,182","130,444","130,810","132,311","133,185","136,560","135,524","134,521","133,239","132,428","133,249","132,767","$7,175,202,437","132,935","$1,038",
